108,SERUT : KAYU = ….. : …..,Karyawan : Perusahaan,Cangkul : Kebun,Cek : Batal,Swasta : Industri,Ladang : Sawah,B,SERUT : KAYU (kayu diserut) Cangkul : Kebun (kebun dicangkul),,,,,,,,,,,1,1,5
109,AIR : HAUS = ….. : …..,Angin : Panas,Makanan: Lapar,Rumput : Kambing,Gelap : Lampu,Minyak : Api,B,AIR : HAUS (haus membutuhkan air) Makanan : Lapar (lapar membutuhkan makanan),,,,,,,,,,,1,1,5
110,PELUKIS : GAMBAR = ….. : …..,Koki : Restoran,Penyanyi: Lagu,Penyair : Puisi,Komponis: Lagu,Kartunis : Pena,D,PELUKIS : GAMBAR (pelukis meghasilkan gambar saja) Komponis : Lagu (komponis menghasilkan lagu saja),,,,,,,,,,,1,1,5
111,PETUNJUK : AFFIRMASI = ….. : …..,Menolak : Melawan,Didenda : Ditahan,Setuju : Berkata,Relasi : Keadaan,Rejeksi : Konfirmasi,B,"PETUNJUK : AFFIRMASI (dia harus diberi affirmasi/ petunjuk khusus, bukan hanya petunjuk) Didenda : Ditahan (dia harus ditahan, tidak sekedar didenda)",,,,,,,,,,,1,1,5
112,KAKI : SEPATU = ….. : …..,Cat : Kuas,Meja : Ruangan,Telinga : Anting,Cincin : Jari,Topi : Kepala,C,KAKI : SEPATU (sepatu dikenakan di kaki) Telinga : Anting (anting dikenakan di telinga),,,,,,,,,,,1,1,5
113,KORAN : MAKALAH : BULETIN = ….. : …..,Restoran : Hotel : Losmen,Cat : Kuas : Lukisan,Sandal : Sepatu : Kaos,Air : Roti : Singkong,Bus : Kereta Api : Delman,E,KORAN : MAKALAH : BULETIN (sama-sama media massa) Bus : Kereta Api : Delman (sama-sama kendaraan umum),,,,,,,,,,,1,1,5
114,BUSUR : GARIS = ….. : …..,Terbenam : Terbit,Tangkap : Lempar,Tombak : Busur,Busur : Panah,Relatif : Absolut,D,"BUSUR : GARIS (busur melengkung, garis melengkung) Busur : Panah (busur melengkung, panah lurus)",,,,,,,,,,,1,1,5
115,TEMBAKAU : ROKOK : ISAP = ….. : …..,Gandum: Roti : Makan,Kulit : Sepatu : Kaki,Plastik : Sisir : Rambut,Beras : Nasi : Jemur,Teh : Susu : Minum,A,TEMBAKAU : ROKOK : ISAP (tembakau adalah bahan baku rokok. Rokok dinikmati dengan cara diisap) Gandum : Roti : Makan (gandum adalah bahan baku roti. Roti dinikmati dengan cara dimakan),,,,,,,,,,,1,1,5
116,MULUT : MONYONG = ….. : …..,Leher : Jenjang,Mata : Hitam,Dahi : Muka,Hidung : Pesek,Pipi : Merah,D,MULUT : MONYONG (mulut kurang indah jika monyong) Hidung : Pesek (hidung kurang indah jika pesek),,,,,,,,,,,1,1,5
117,PENGHORMATAN : JASA = INTENSIF : …,Piagam,Pensiun,Hadiah,Prestasi,Lembur,D,PENGHORMATAN : JASA (mempunyai jasa akan diberikan penghormatan) Prestasi (mempunyai prestasi akan diberi insentif),,,,,,,,,,,1,1,5
118,AIR : MENGUAP = ….. : …..,Es : Mencair,Panas : Memuai,Jatuh : Pecah,Uap : Hujan,Laut : Mendung,A,AIR : MENGUAP (air dipanaskan menguap) Es : Mencair (es dipanaskan mencair),,,,,,,,,,,1,1,5
119,SENAPAN : BERBURU = ….. : …..,Kapal : berlabu,Kereta : langsir,Pancing : ikan,Perangakap : menangkap,Parang : mengasah,D,Perangkap : menangkap,,,,,,,,,,,1,1,5
120,BATA : TANAH LIAT = ….. : …..,Batu : pasir,Tembikar : keramik,Bunga : buah,Beton : semen,Kertas :buku,D,Beton : semen,,,,,,,,,,,1,1,5
121,KENDARAAN : MOBIL = ….. : …..,Gaji : Upah,Kapal : Perahu,Binatang: Lawan,Orang : Pemuda,Laut : Danau,D,Orang : Pemuda,,,,,,,,,,,1,1,5
122,GAMBAR : PELUKIS = ….. : …..,Lagu : Penyanyi,Restoran : Koki,Pena : Kartunis,Lagu : Komponis,Puisi : Penyair,D,Lagu : Komponis,,,,,,,,,,,1,1,5
123,BANGSA : ETHNOLOGI = ….. : …..,Demonstrasi : Demografi,Bumi : Geografi,Planet : Astronomi,Penyakit : Patologi,Alam : Biologi,D,Penyakit : Patologi,,,,,,,,,,,1,1,5
124,SEMINAR : SARJANA = ….. : …..,Perpustakaan : Peneliti,Koneurvator : Seniman,Ruang Pengadilan : Saksi,Rumah Sakit : Pasien,Akademi : Taruna,A,Perpustakaan : Peneliti,,,,,,,,,,,1,1,5
125,RAMBUT : GUNDUL = ….. : …..,Lantai : Licin,Pakaian : Bugil,Botak : Kepala,Mobil : Mogok,Bulu : Cabut,B,Pakaian : Bugil,,,,,,,,,,,1,1,5
126,LABA : PENJUALAN = KEBERANIAN : …,Toleransi,Kebenaran,Pendekar,Kemenangan,Pembelaan,D,Kemenangan,,,,,,,,,,,1,1,5
127,MERAH : MAWAR = ….. : …..,Hijau : Jati,Kuning : Apel,Putih : Melati,Hitam : Tebu,Salmon : Ikan,C,Putih : Melati,,,,,,,,,,,1,1,5
128,TAJAM : TUMPUL = ….. : …..,Muka : Mata,Palu : Pukul,Pulsa : Ponsel,Dekat : Jauh,Sukar : Sulit,D,Dekat : Jauh,,,,,,,,,,,1,1,5
129,LAPAR : NASI = ….. : …..,Membaca : Menggambar,Bosan : Tidur,Mengantuk : Melamun,Mual : Obat,Haus : Air,E,Haus : Air,,,,,,,,,,,1,1,5
130,KULIT : SISIK = ….. : …..,Atap : Jantung,Dinding : Cat,Keramik : Mozaik,Rumah : Kamar,Tegel : Lantai,B,Dinding : Cat,,,,,,,,,,,1,1,5
131,PEDAS : CABAI = MANIS : …,Kecap,Sakarin,Teh Botol,Manisan,Gadis,B,Sakarin,,,,,,,,,,,1,1,5
132,RAMALAN : ASTROLOGI = BANGSA : …,Etnologi,Psikologi,Demografi,Antropologi,Sosiologi,A,Etnologi,,,,,,,,,,,1,1,5
133,SUARA : DESIBEL = ….. : …..,Temperatur : Suhu,Berat : Kalori,Jarak : Meter,Merah : Warna,Listrik : Volt,E,Listrik : Volt,,,,,,,,,,,1,1,5
134,LAMPU : GELAP = MAKANAN : …,Lapar,Mulas,Gizi,Penuh,Kenyang,A,Lapar,,,,,,,,,,,1,1,5
135,BUNGA : BUKET = ….. : …..,Pigmen : Mata,Balon : Udara,Pintu : Kunci,Tubuh : Kulit,Kertas : Buku,E,Kertas : Buku,,,,,,,,,,,1,1,5
136,RUMPUT : LAPANGAN = BINTANG : …,Antariksa,Malam,Angkasa,Langit,Nebula,D,Langit,,,,,,,,,,,1,1,5
137,ULAT : KEPOMPONG : KUPU-KUPU = ….. : …..,Kecil : Sedang : Besar,Sore : Siang : Pagi,Ngantuk : Tidur : Mimpi,Bayi : Kanak-Kanak : Remaja,Anak : Ayah : Kakek,D,Bayi : Kanak-Kanak : Remaja,,,,,,,,,,,1,1,5
138,TUKANG : GERGAJI : PALU = ….. : …..,Guru : Kapur : Topi,Penari : Topi : Selendang,Montir : Obeng : Tang,Penulis : Kuas : Cat,Tukang : Obat : Stetoskop,C,Montir : Obeng : Tang,,,,,,,,,,,1,1,5
139,BURUNG : TERBANG : UDARA = ….. : …..,Makanan : Nasi : Meja,Rokok : Tembakau : Asap,Kuas : Cat : Tembok,Ibu : Memasak : Halaman,Ikan : Berenang : Air,E,Ikan : Berenang : Air,,,,,,,,,,,1,1,5
140,SUSU : GELAS = ….. : …..,Makan : Orang,Bubur : Piring,Nasi : Beras,Bulat : Telor,Teh : Sendok,B,Bubur : Piring,,,,,,,,,,,1,1,5
141,BUNGA : TAMAN = ….. : …..,Pohon : Ranting,Murid : PR,Dokter : Pasien,Sekretaris: Komputer,Dosen : Universitas,E,Dosen : Universitas,,,,,,,,,,,1,1,5
142,PADI : PETANI = ….. : …..,Penyair : Puisi,Dokter : Obat,Dukun : Jamu,Sawah : Sapi,Matahari: Panas,A,Penyair : Puisi,,,,,,,,,,,1,1,5
143,PRESIDEN : NEGARA = ….. : …..,Ayah : Keluarga,Kuping : Anting,Kepala : Rambut,RT : RW,Menteri : Instruksi,A,Ayah : Keluarga,,,,,,,,,,,1,1,5
144,TELUK : LAUT = ….. : …..,Semenanjung : Daratan,Kapal : Pelabuhan,Karang : Tanjung,Selat : Pulau,Sepeda : Pedal,A,Semenanjung : Daratan,,,,,,,,,,,1,1,5
145,ADAGIO : ALLEGRO = ….. : …..,Binatang: Singa,Lambat : Cepat,Putih : Merah,Akal : Orang,Rakus : Babi,B,Lambat : Cepat,,,,,,,,,,,1,1,5
146,TAPE : RAGI = ….. : …..,Kuman : Penicilin,Antiseptik : Iodium,Pasta gigi : Flour,Minuman : Soda,Obat : Aspirin,B,Antiseptik : Iodium,,,,,,,,,,,1,1,5
147,KOMPOR : API = ….. : …..,Pohon : Buah,Kipas : Angin,Jalan : Macet,Lemari : Es,Palung : Gua,B,KIPAS : ANGIN,,,,,,,,,,,1,1,5
148,BAWANG : SIUNG = ….. : …..,Telur : Butir,Buku : Lembar,Kain : Meter,Pakaian : Kodi,Kertas : Kilogram,A,TELUR : BUTIR,,,,,,,,,,,1,1,5
149,BELAJAR : PANDAI = ….. : …..,Potret : Kamera,Rajin : Bodoh,Litografi : Batu,Berpikir : Arif,Cetak : Kertas,D,BERPIKIR : ARIF,,,,,,,,,,,1,1,5
150,PIANO : ORGAN = ….. : …..,Drum : Gitar,Kunci : Pedal,Senar : Pipa,Nada : Not,Gitar : Perkusi,D,NADA : NOT,,,,,,,,,,,1,1,5
151,NELAYAN : PERAHU = ….. : …..,Petani : Traktor,Koki : Oven,Dosen : Kelas,Penulis : Pena,Fotografer : Kamera,A,PETANI : TRAKTOR,,,,,,,,,,,1,1,5
152,PANTAI : RESOR = ….. : …..,Bukit : Laut,Hujan : Basah,Gunung : Vila,Laut : Pesiar,Gunung : Bukit,C,GUNUNG : VILA,,,,,,,,,,,1,1,5
153,HUMOR : KOMEDIAN = ….. : …..,Klimaks : Drama,Memori : Amnesia,Perceraian : Pernikahan,Heroisme : Epik,Sintaksis : Kata,D,HEROISME : EPIK,,,,,,,,,,,1,1,5
154,GEOLOGI : BUMI = ….. : …..,Kimia : Senyawa,Teori : Praktek,Biologi : Laboratorium,Beringin : Pohon,Astronomi : Galaksi,E,Astronomi : Galaksi,,,,,,,,,,,1,1,5
155,UMUR : TAHUN = ….. : …..,Ilmu : Nilai,Jam : Detik,Kecepatan : Jam,Kertas : Helai,Air : Minum,D,KERTAS : HELAI,,,,,,,,,,,1,1,5
156,INTENSITAS : FREKUENSI = ….. : …..,Hadiah : Pengabdian,Penghargaan : Penghormatan,Jauh : Jarak,Jumlah : Total,Hak : Kewajiban,B,PENGHARGAAN : PENGHORMATAN,,,,,,,,,,,1,1,5
157,MOBIL : BENSIN = ….. : …..,Pesawat terbang : Propeler,Motor : Solar,Manusia : Makanan,Sapi : Susu,Penyakit : Virus,C,MANUSIA : MAKANAN,,,,,,,,,,,1,1,5
158,BAIT : PUISI = ….. : …..,Drama : Epos,Sajak : Prosa,Loteng : Bangunan,Hiasan diding : Lukisan,Bendera : Lagu kebangsaan,C,LOTENG : BANGUNAN,,,,,,,,,,,1,1,5
159,MENCURI : MENYESAL = ….. : …..,Menyakiti : Menangis,Mencontek : Menghukum,Menyakiti : Menangis,Makan : Lapar,Menanam : Menyiang,E,MENANAM : MENYIANG,,,,,,,,,,,1,1,5
160,AIR : MINYAK = ….. : …..,Rajin : Pandai,Elang : Ayam,Anjing : Kucing,Gula : Kopi,Pintar : Bodoh,C,Anjing : Kucing,,,,,,,,,,,1,1,5
161,DANA : PENGGELAPAN = ….. : …..,Deposito : Perbankan,Cek : Akuntansi,Kuitansi : Saldo,Karya tulis : Penjiplakan,Uang : Brankas,D,KARYA TULIS : PENJIPLAKAN,,,,,,,,,,,1,1,5
162,ABRASI : HEMPASAN = ….. : …..,Memasak : Panas,Rayuan : Pujian,Reruntuhan : Penghancuran,Serpihan : Potongan,Matahari : Hujan,A,MEMASAK : PANAS,,,,,,,,,,,1,1,5
163,DOKTOR : DISERTASI = ….. : …..,Kyai : Jamaah,Buruh : Upah,Sarjana : Skripsi,Kuliah : Praktikum,Menteri : Kepmen,C,SARJANA : SKRIPSI,,,,,,,,,,,1,1,5
164,ACEH : SERAMBI MEKAH = ….. : …..,Madona : Penyanyi,Obama : Presiden,Michael Schumacer : Pembalap,Michael Jackson : King of pop,Michael Gorbachev : Pemimpin Soviet,D,MICHAEL JACKSON : KING OF POP,,,,,,,,,,,1,1,5
165,DISELESAIKAN : RAGU = ….. : …..,Diumumkan : Pencalonan,Dikonfirmasi : Curiga,Memulai : Mengakhiri,Dimasukkan : Tamu,Disarankan : Ide,B,DIKONFIRMASI : CURIGA,,,,,,,,,,,1,1,5
166,GEMPA : RICHTER = ….. : …..,Ombak : Knot,Jarak : Dinamo,Obat : Dosis,Suhu : Fahrenheit,Banjir : Air,D,SUHU : FAHRENHEIT,,,,,,,,,,,1,1,5
167,SEPATU : JALAN = ….. : …..,Buku : Baca,Pensil : Makan,Sisir : Rambut,Garpu : Makan,Sandal : Jepit,D,GARPU : MAKAN,,,,,,,,,,,1,1,5
168,SEKOLAH : SISWA : BELAJAR = ….. : …..,Sekolah : Guru : Rapat,Laboratorium : Ilmuan : Meneliti,Rumah : Ayah : Ibu,Dokter : Pasien : Periksa,Kantin : Makan : Siswa,B,LABORATORIUM : ILMUAN : MENELITI,,,,,,,,,,,1,1,5
169,MURID : BUKU : PERPUSTAKAAN = ….. : …..,Anak : Kelereng : Rumah,Nasabah : Uang : Bank,Orang tua : Anak : Ibu,Pembeli : Makanan : Gudang,Dosen : Mahasiswa : Kuliah,B,NASABAH : UANG : BANK,,,,,,,,,,,1,1,5
170,TURBIN : AIR = ….. : …..,Tekstil : pabrik,Money : bank,Telepon : genggam,Senter : batu baterai,Sarjana : wisuda,D,Senter : batu baterai,,,,,,,,,,,1,1,5
171,FILM : SUTRADARA = ….. : PENYAIR,Lagu,Lukisan,Puisi,Skripsi,Disertasi,C,PUISI,,,,,,,,,,,1,1,5
172,SAPI : HERBIVORA : MELAHIRKAN = AYAM : ….. : …..,Rumput : Omnivora,Omnivora : Bertelur,Herbivora : Susu,Karnivora : Beranak,Omnivora : Daging Ayam,B,OMNIVORA : BERTELUR,,,,,,,,,,,1,1,5
173,SOSIOLOGI : ILMU = MONOPOLI : …..,Kekuasaan,Permainan,Perdagangan,Perekonomian,Pertanian,B,PERMAINAN,,,,,,,,,,,1,1,5
174,SISWA : GURU : SEKOLAH = PASIEN : ….. : …..,Obat : Apotek,Obat : Dokter,Dokter : Rumah Sakit,Rumah Sakit : Obat,Apotek : Rumah Sakit,C,DOKTER : RUMAH SAKIT,,,,,,,,,,,1,1,5
175,TIDUR : NGANTUK = ….. : …..,Istirahat : Lelah,Melati : Bunga,Kaki : Sepatu,Minum : Air,Kampus : Kuliah,A,ISTIRAHAT : LELAH,,,,,,,,,,,1,1,5
176,TUNTUNAN : SANTUNAN = ….. : …..,Undian : hadiah,Permintaan : pemberian,Persediaan : penawaran,Rusak : ganti rugi,Tabungan : pembelanjaan,B,Permintaan : pemberian,,,,,,,,,,,1,1,5
177,DIAMETER : LINGKARAN = ….. : …..,Diagonal : segiempat,Luas : panjang,Tinggi : segitiga,sudut : tegak lurus,Radius : busur,A,Diagonal : segiempat,,,,,,,,,,,1,1,5
178,PEDATI : KUDA = PESAWAT TERBANG : ……,Sayap,Turbin,Pramugari,Pilot,Landasan,B,Turbin,,,,,,,,,,,1,1,5
179,SAPU : BERSIH = ….. : …..,Lap : Kering,Babi : Rakus,Uang : Bank,Tubuh : Kulit,Foto : Bingkai,A,Lap : Kering,,,,,,,,,,,1,1,5
180,MELANGGAR : DIHUKUM = ….. : …..,Kantuk : Mimpi,Kehujanan : Sakit,Bukit : Gunung,Buku : Perpustakaan,Doa : Pendeta,B,Kehujanan : Sakit,,,,,,,,,,,1,1,5
